,cos_sim
279,0.9680609963834286
280,0.8953237012028694
281,0.8864700067788363
282,0.8790256418287754
283,0.8864162061363459
284,0.8839671779423952
285,0.8802385851740837
286,0.8821533983573318
287,0.8866585865616798
288,0.9691349752247334
289,0.9650333859026432
290,0.8866704804822803
291,0.8872869610786438
292,0.8882417809218168
293,0.8907736875116825
294,0.8888648208230734
295,0.8852732107043266
296,0.8853091727942228
297,0.8864841274917126
298,0.9662184193730354
299,0.9667696505784988
300,0.8817638726904988
301,0.8925840444862843
302,0.8842408638447523
303,0.8929781690239906
304,0.8890113458037376
305,0.8840208537876606
306,0.8795358389616013
307,0.8853937573730946
308,0.9640621282160282
309,0.965400468558073
310,0.8845212552696466
311,0.8843447025865316
312,0.888956306502223
313,0.8861778266727924
314,0.8884199727326632
315,0.889004098251462
316,0.8858620766550303
317,0.8770020408555865
318,0.9651554003357887
319,0.9640223123133183
320,0.8905356042087078
321,0.8906218502670527
322,0.8919536788016558
323,0.8952902592718601
324,0.8847982119768858
325,0.8854280486702919
326,0.8801729790866375
327,0.8863947195932269
328,0.9658722504973412
329,0.9680586270987988
330,0.8908285088837147
331,0.8962158262729645
332,0.8927272576838732
333,0.8949915710836649
334,0.8843163028359413
335,0.8802841799333692
336,0.8897762950509787
337,0.8789772167801857
338,0.9664652496576309
339,0.9647903591394424
340,0.8859697468578815
341,0.8910207282751799
342,0.8885398339480162
343,0.8845722004771233
344,0.8875377606600523
345,0.8828502297401428
346,0.8900564294308424
347,0.8925659395754337
348,0.9653766490519047
349,0.9654325358569622
350,0.88253378495574
351,0.8902087472379208
352,0.8868562467396259
353,0.8868441376835108
354,0.8827358270063996
355,0.8720970437861979
356,0.8907353784888983
357,0.8870976809412241
358,0.9683652557432652
359,0.9655557610094547
360,0.8844036553055048
361,0.8928072862327099
362,0.8874595426023006
363,0.8901549242436886
364,0.8860667645931244
365,0.8863032851368189
366,0.8904057331383228
367,0.8838066533207893
368,0.9680832326412201
369,0.9644873291254044
370,0.8828946463763714
371,0.8862694092094898
372,0.8972833324223757
373,0.8816072531044483
374,0.8892573639750481
375,0.8817450636997819
376,0.8801078638061881
377,0.8749987678602338
378,0.9676298685371876
379,0.9680505432188511
380,0.8886999730020761
381,0.8932485990226269
382,0.8923062719404697
383,0.8883453477174044
384,0.8801687937229872
385,0.88567297719419
386,0.881071113049984
387,0.8822264205664396
388,0.967022642493248
389,0.9662293791770935
390,0.893465293571353
391,0.887256046757102
392,0.8852920485660434
393,0.8846305422484875
394,0.8801589095965028
395,0.8901576139032841
396,0.8899824228137732
397,0.893648674711585
398,0.9674059711396694
399,0.9659888334572315
400,0.8881168309599161
401,0.8906464036554098
402,0.8869204502552748
403,0.8893358875066042
404,0.8911333065479994
405,0.8806680496782064
406,0.8839448373764753
407,0.8832412175834179
408,0.9694306589663029
409,0.965398907661438
410,0.887318866327405
411,0.8943113498389721
412,0.8847097475081682
413,0.8886319678276777
414,0.8930000588297844
415,0.8839761707931757
416,0.8874562224373221
417,0.8790324190631509
418,0.9658087119460106
419,0.9657331369817257
420,0.8908406645059586
421,0.8868605233728886
422,0.8918455261737108
423,0.8873958140611649
424,0.881301449611783
425,0.8801955562084913
426,0.8796808617189527
427,0.889716487377882
428,0.9694103039801121
429,0.9656216464936733
430,0.8876262214034796
431,0.8918184693902731
432,0.878674584440887
433,0.8838396035134792
434,0.8835761146619916
435,0.8829696364700794
436,0.8829324003309011
437,0.8818760439753532
438,0.9671625606715679
439,0.9668631702661514
440,0.8842225074768066
441,0.893389979377389
442,0.8891293108463287
443,0.8874724563211203
444,0.8851086404174566
445,0.8785351840779185
446,0.8792880875989795
447,0.8791010705754161
448,0.9687248691916466
449,0.9667966328561306
450,0.8826346956193447
451,0.8905389364808798
452,0.8882117010653019
453,0.8830105783417821
454,0.8841067664325237
455,0.8828224763274193
456,0.8816836606711149
457,0.884146049618721
458,0.9657495468854904
459,0.9669909030199051
460,0.8847584072500467
461,0.8941694293171167
462,0.8837560322135687
463,0.8930017594248056
464,0.887627724558115
465,0.8842617738991976
466,0.8875397853553295
467,0.8854205450043082
468,0.9674335792660713
469,0.9646331816911697
470,0.8934589810669422
471,0.8907102160155773
472,0.8859485294669867
473,0.8947911225259304
474,0.8880196679383516
475,0.891057351604104
476,0.8813636377453804
477,0.8890985939651728
478,0.9685330614447594
479,0.9653376340866089
480,0.886415520682931
481,0.892614034935832
482,0.8900055419653654
483,0.8929663188755512
484,0.8843656536191702
485,0.8893572855740786
486,0.8867113497108221
487,0.8809661502018571
488,0.9660208970308304
489,0.9663051962852478
490,0.8878352418541908
491,0.8893811572343111
492,0.8883986659348011
493,0.8824702072888613
494,0.8758863834664226
495,0.8866421915590763
496,0.8780532274395227
497,0.8894578237086535
498,0.9659555181860924
499,0.9666248224675655
